ID,Title,Location,Salary,Summary
,딥러닝 기반 Computer Vision 개발자,서울 중구,,"머신 러닝, 컴퓨터 비전 기술 이해도 및 구현 역량한 가지 이상의 AI 라이브러리 및 플랫폼에 대한 깊은 경험 Python, C/C++ 기반 OpenCV 로직 개발 경험Open Source 단순 활용을 넘어 기능 개발 및 버그..."
,Technical Support Engineer-Developer,서울,,"developing with Chatbot, Linux, Apache, Java, Node, Python, PHP, or Ruby - Knowledge and experiences of cloud services (Azure..."
,기술 인턴 인공지능 응용 연구/개발 인턴,서울 관악구,,"6개월) (협의) *모집 절차: 서류 à인터뷰(오프라인) *지원 자격: 프로그래밍 언어 활용 능력: Python, C, C++ 중 1가지 이상 데이터구조, 알고리즘 과목 이수 머신러닝과 딥러닝의 기본 개념 이해 머신러닝..."
,Machine Learning Researcher (Computer Vision),서울,,"more than one software language (ex: C, C++, C#, Java, Python, Javascript, Matlab, and so on.) Applicants must have..."
,Python 기반 빅데이터 처리 개발자,서울 서초구,,인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임...
,AI Frameworks Engineer Intern,서울,,knowledge of deep learning technologies. Programming with Python or Shell script. Education Students who are currently...
,Software Engineer,서울,,"languages, including... limited to: C++, Java, C, and Python. Excellent verbal and written communication skills. About..."
,[웹젠] 보안분석(경력),성남 분당구,,도화 추진 경험이 있는 분 - 악성코드 분석 능력을 보유한 분 - Python/Java 등 개발 능력을 보유한 분 - 보안 유관 자격증을 보유한... 분석 능력을 보유한 분 - Python/Java 등 개발 능력을 보유한...
,[외국계 스타트업 미소] Business Analyst,서울,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>MySQL|인터넷·IT·통신·모바일·게임>데이터베이스...
,AI 비정형 모델 개발,서울 영등포구,,"분석 혹은 ML 모델링 관련 실무경력 2년 이상(※ 관련전공 : 컴퓨터공학, 수학, 통계, 산업공학 등) ● Python 및 PyTroch, Keras, Tensorflow 등 ML framework 숙련자 ● git 숙련자..."
,"Deep Learning Engineer 딥러닝 엔지니어 계약직, 전문연구요원 전문연",서울 성동구,,"러닝 서비스를 원활하게 제공합니다.[근무부서 및 직급/직책]근무부서: 기술팀직급/직책: 팀원 [자격요건]- Python 또는 C++ 중 하나의 언어 능숙하게 사용 가능- PyTorch, Tensorflow 등의 딥러닝 프레임..."
,[BLive Div.] Data Analyst (경력 무관),성남 분당구,,"추출 업무(SQL, Presto, Python)인게임 데이터를 활용한 데이터 분석 업무 이런 경험을 가진 분과 함께 성장하고 싶습니다! (필수요건) SQL 활용 능력 중급 이상 Python 활용 능력 중급 이상 이런 경험들이..."
,Anti-Cheat Developer,서울,,experience as a software engineer... following areas : C/C++ Python Anti-cheat solution/tool development Growth-oriented...
,하반기 신입(채용 연계형 인턴) 수시채용,서울 마곡동,,"Python, R, 기타 코딩 능력 보유자 또는 통계 분석에 대한 기초 지식 보유자 중 1개 해당자 우대사항 · 통계 분석에 대한 기초 지식 보유자 · 기초 프로그래밍 코딩 구현 능력 보유자 ( Python or R..."
,Data Scientist (KOREA),충청북도 청주,,"data visualization Experience using tools... SAS JMP, Python, Matlab, KNIME, and SIMCA Experience with developing..."
,(주)리얼데이터 분석컨설팅 인력,서울 성동구,,이터·AI(인공지능)>데이터마이닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>R
,[HYBE] 소프트웨어 엔지니어 (풀스택 개발자),서울 용산구,,"보유한 분HTML, CSS, Javascript등에 능숙하신 분Java, C#, Kotlin, Scala, Python중 하나 이상의 언어 사용 경험Rest API 또는 RPC 개발 경험이 있으신 분블록체인에 대한 이해와..."
,데이터 사이언티스트 (Data Scientist),서울 영등포구,,"Airflow, Metabase, AWS Sagemaker 언어: Python, SQL 자격 요건 통계 및 데이터마이닝 관련 분야 학위 또는 실무... 델링을 위한 언어 및 프레임워크 ( Python, R, SQL, Pandas..."
,데이터처리 플랫폼 개발자,성남 판교역,,"데이터 수집, 처리 및 지표 분석 경험 - 데이터 기반의 문제해결 역량 및 논리적 사고 - Java, Python, Scala 중 최소 1가지 언어를 이용한 데이터 분석 및 소프트웨어 개발 역량 - SQL을 이용한 데이..."
